page_url,page_slug,link_text,pdf_url,file_id,subject,page_type,resource_type,chapter_name,notes
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Model Paper-5,https://drive.google.com/file/d/10G0bGkjK4UaSbV3sZFUEilxEerV5Kkro/view?usp=sharing,10G0bGkjK4UaSbV3sZFUEilxEerV5Kkro,Physics,resource_page,model_paper,,
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Model Paper-8,https://drive.google.com/file/d/1u6-dVzO1_ObBSMZgH_LkJ15G57u5gr1g/view?usp=sharing,1u6-dVzO1_ObBSMZgH_LkJ15G57u5gr1g,Physics,resource_page,model_paper,,
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Model Paper-3,https://drive.google.com/file/d/1UMqIjhwWXr7ishpK6YswyZn6aQfVoSDA/view?usp=sharing,1UMqIjhwWXr7ishpK6YswyZn6aQfVoSDA,Physics,resource_page,model_paper,,
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Model Paper-6,https://drive.google.com/file/d/1S93erlXKziQTckQI-2hKqqUJq2uORWTL/view?usp=sharing,1S93erlXKziQTckQI-2hKqqUJq2uORWTL,Physics,resource_page,model_paper,,
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Model Paper-9,https://drive.google.com/file/d/1o_1ug274Opf5dt8Vhgh9kjLXkAfmZxiL/view?usp=sharing,1o_1ug274Opf5dt8Vhgh9kjLXkAfmZxiL,Physics,resource_page,model_paper,,
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Model Paper-10,https://drive.google.com/file/d/1bk9kLkj5n6qZzG3UCV5DcMAy0sE-Rco7/view?usp=sharing,1bk9kLkj5n6qZzG3UCV5DcMAy0sE-Rco7,Physics,resource_page,model_paper,,
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Questions,https://drive.google.com/file/d/1We7HFV_TETiuNnFRkK3lDobJXPIydepk/view?usp=sharing,1We7HFV_TETiuNnFRkK3lDobJXPIydepk,Physics,resource_page,unknown,,
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Midterm Paper 1,https://drive.google.com/file/d/1-LO2t5GPPsp-tKG7bpZ-EFr1fsw7EEl9/view?usp=sharing,1-LO2t5GPPsp-tKG7bpZ-EFr1fsw7EEl9,Physics,resource_page,unknown,,
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Midterm Paper 2,https://drive.google.com/file/d/191ZISbK6gsE9VOdMYHdSXHGGn79clczf/view?usp=sharing,191ZISbK6gsE9VOdMYHdSXHGGn79clczf,Physics,resource_page,unknown,,
https://www.pucnotes-solutions.com/1stpuctextbookdownload,1stpuctextbookdownload,Physics part1,https://pue.karnataka.gov.in/storage/pdf-files/12tbn.pdf,,,resource_page,textbook,,
https://www.pucnotes-solutions.com/1stpuctextbookdownload,1stpuctextbookdownload,Physics part2,https://pue.karnataka.gov.in/storage/pdf-files/13tbn.pdf,,,resource_page,textbook,,
