page_url,link_text,pdf_url
https://www.pucnotes-solutions.com/1st-puc-physics,Model Paper-10,https://drive.google.com/file/d/1bk9kLkj5n6qZzG3UCV5DcMAy0sE-Rco7/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-physics,Questions,https://drive.google.com/file/d/1We7HFV_TETiuNnFRkK3lDobJXPIydepk/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-physics,Midterm Paper 1,https://drive.google.com/file/d/1-LO2t5GPPsp-tKG7bpZ-EFr1fsw7EEl9/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-physics,Midterm Paper 2,https://drive.google.com/file/d/191ZISbK6gsE9VOdMYHdSXHGGn79clczf/view?usp=sharing
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Physics part1,https://pue.karnataka.gov.in/storage/pdf-files/12tbn.pdf
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Physics part2,https://pue.karnataka.gov.in/storage/pdf-files/13tbn.pdf
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Chemistry part1,https://pue.karnataka.gov.in/storage/pdf-files/5tbn.pdf
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Chemistry part2,https://pue.karnataka.gov.in/storage/pdf-files/6tbn.pdf
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Mathematics,https://pue.karnataka.gov.in/storage/pdf-files/11tbn.pdf
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Biology,https://pue.karnataka.gov.in/storage/pdf-files/2tbn.pdf
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Computer Science,https://drive.google.com/file/d/1fRA1ctikP9Rjhwgmu2A3cUQSF8BljN18/view?usp=drivesdk
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Accountancy part1,https://drive.google.com/file/d/1K8DFV6W6voW-tb3ZvGOmPi8qBEvWAdvU/view
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Accountancy part1,https://drive.google.com/file/d/1jcx-R8jp1mt9PpdgmkguI0ZIlfsd91Xp/view
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Business studies,https://pue.karnataka.gov.in/storage/pdf-files/3tbn.pdf
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Economics part1,https://pue.karnataka.gov.in/storage/pdf-files/8tbn.pdf
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Economics part2,https://pue.karnataka.gov.in/storage/pdf-files/17l.pdf
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Statistics,https://pue.karnataka.gov.in/storage/pdf-files/18tbn.pdf
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Computer science,https://drive.google.com/file/d/1fRA1ctikP9Rjhwgmu2A3cUQSF8BljN18/view?usp=drivesdk
https://www.pucnotes-solutions.com/1stpuctextbookdownload,English,https://drive.google.com/file/d/0B5WLdFVMntmtVGF2dTNLU1hmb0U/view
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Hindi,https://pue.karnataka.gov.in/storage/pdf-files/7tbn.pdf
https://www.pucnotes-solutions.com/1stpuctextbookdownload,Kannada,https://pue.karnataka.gov.in/storage/pdf-files/9tbn.pdf
https://www.pucnotes-solutions.com/kcet-pattern,Physics,https://drive.google.com/file/d/1-crCWAnMBDSU-_aSdmoiq6o7xKM-fDcM/view?usp=sharing
https://www.pucnotes-solutions.com/kcet-pattern,Chemistry,https://drive.google.com/file/d/1-hUNR6QLL52q9tcsm2wSVmPrm2AYT_1d/view?usp=sharing
https://www.pucnotes-solutions.com/kcet-pattern,Mathematics,https://drive.google.com/file/d/1-hus_yINKBrdFb8AJ3s552WeRytsRLJ9/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Model Paper-1,https://drive.google.com/file/d/1hwEEXOX271hj1uYvxPZAAAlCB07dLBIa/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Model Paper-4,https://drive.google.com/file/d/1qNzzjI7zXe8mcYRnoNsSVuOcNB1vWvhw/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Model Paper-7,https://drive.google.com/file/d/16UguEQaohGfVhbV3p-RPYo-ATR0CinmC/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Model Paper-2,https://drive.google.com/file/d/1MESNviThfGKscWDN1HUPRwzkE8xe-uqi/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Model Paper-5,https://drive.google.com/file/d/1Kf44yBETBg_QKK0kFmXjYx6kdaOU3PQt/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Model Paper-8,https://drive.google.com/file/d/1sWM1SVvSDhOiTLf_aLyCA1Lzzch0lRc4/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Model Paper-3,https://drive.google.com/file/d/1rAzaiPSx9TeJmu6GgUPu2c7Jxn5J_0pb/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Model Paper-6,https://drive.google.com/file/d/1aQnl7Fm5q_QN1J_dlOj2ZBaYa2FLrlfA/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Model Paper-9,https://drive.google.com/file/d/1rahG8hN3XVGB9onL4khxBNhUQuSkMwiQ/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Model Paper-10,https://drive.google.com/file/d/1DOxADiFm5VLwhR7MXVZ_-6VpPojToTfh/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,2020 question paper,https://drive.google.com/file/d/1oKrXshomCUPak2udn7PWjxPLiMU0Ygb9/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Questions,https://drive.google.com/file/d/1E6xgsR0YMPHXdi8i9H3QvKWx-ZlWeZuO/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Midterm Paper 1,https://drive.google.com/file/d/1E7G1pE-QmSIYCZLqRztQuUuJA2RMVaVV/view?usp=sharing
https://www.pucnotes-solutions.com/1st-puc-mathematics,Midterm Paper 2,https://drive.google.com/file/d/1Ghjl-V45pF0sufgNTiAASme4zH0pDsF8/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-puc-computer-science,Model Paper-1,https://drive.google.com/file/d/1iV8_jSe_V8LdAMzomEyHtJ0zvB95MIal/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-puc-computer-science,Model Paper-4,https://drive.google.com/file/d/10rsyFB65MQroTb2tMkYUmlrjuR84Civ3/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-puc-computer-science,Model Paper-7,https://drive.google.com/file/d/1G6M2SGCVyPDhrDyA9Nzsauy1Gg7Q_OtL/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-puc-computer-science,Model Paper-2,https://drive.google.com/file/d/1Nqaf0nHkORUCkTOYD0pQ6sHhuBRSRX74/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-puc-computer-science,Model Paper-5,https://drive.google.com/file/d/1Rnd0C-64iBOUNLjvlQe0aqKM0r9TQSom/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-puc-computer-science,Model Paper-8,https://drive.google.com/file/d/1WVxA6G3nO9ia4p8capRs9lf-IdU3HEgW/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-puc-computer-science,Model Paper-3,https://drive.google.com/file/d/1M8JW8ktW_JkX3oKV-6tUCM3twNHMnMj1/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-puc-computer-science,Model Paper-6,https://drive.google.com/file/d/1J0Po_9p5OxixvCdLSr0BFjaQe9uC3Has/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-puc-computer-science,Model Paper-9,https://drive.google.com/file/d/13TkdFTKR038hxdQXv9v3yqc4Nzd0gbyp/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-puc-computer-science,Model Paper-10,https://drive.google.com/file/d/1m91jrxI20UQDNfRbL5dY7-AHO4DcArKs/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-puc-computer-science,Questions,https://drive.google.com/file/d/1QoaA0876RJphUaNJvIrQ160DHOmuDnRs/view?usp=sharing
